episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-154.26912226389732,1000,0,0,-0.15426912226389733,0.05,overtime
2,-25.354717373503426,167,0,1,-0.15182465493115824,0.05,crush
3,-54.70678013136093,115,0,1,-0.4757111315770516,0.05,crush
4,-50.09692255539331,117,0,1,-0.4281788252597719,0.05,crush
5,-47.9015526738108,329,0,1,-0.14559742454045835,0.05,crush
6,63.25470463526143,321,1,0,0.19705515462698267,0.05,reach
7,-43.6477633034569,205,0,1,-0.2129159185534483,0.05,crush
8,-16.868275247772672,83,0,1,-0.20323223190087558,0.05,crush
9,-25.866691637543017,186,0,1,-0.13906823461044632,0.05,crush
10,-25.490740677931512,107,0,1,-0.23823122128907956,0.05,crush
11,-79.4088016282303,370,0,1,-0.2146183827790008,0.05,crush
12,-20.419509696615798,102,0,1,-0.200191271535449,0.05,crush
13,-25.62259491033589,74,0,1,-0.34625128257210663,0.05,crush
14,-16.429151523332223,41,0,1,-0.40071101276420057,0.05,crush
15,-17.946983133017156,75,0,1,-0.23929310844022875,0.05,crush
16,-16.655871303753962,50,0,1,-0.3331174260750792,0.05,crush
17,-18.180576432702985,42,0,1,-0.43287086744530917,0.05,crush
18,-15.305741880408084,41,0,1,-0.37331077757092884,0.05,crush
19,-19.1579265805671,49,0,1,-0.39097809348096124,0.05,crush
20,-21.539822670206085,45,0,1,-0.47866272600457965,0.05,crush
21,-16.46693446461232,45,0,1,-0.36593187699138485,0.05,crush
22,-16.30728942414759,47,0,1,-0.34696360476909766,0.05,crush
23,-17.82775418538828,47,0,1,-0.3793139188380485,0.05,crush
24,-18.34951802052161,45,0,1,-0.40776706712270244,0.05,crush
25,-22.32523537753673,66,0,1,-0.3382611420838898,0.05,crush
26,-17.521181501012265,64,0,1,-0.27376846095331664,0.05,crush
27,-18.430113555391653,50,0,1,-0.36860227110783306,0.05,crush
28,-18.190231827749734,47,0,1,-0.38702620910105817,0.05,crush
29,-19.944888154332336,52,0,1,-0.383555541429468,0.05,crush
30,-15.40445418205104,41,0,1,-0.37571839468417173,0.05,crush
31,-18.940836855473957,56,0,1,-0.33822922956203494,0.05,crush
32,-16.426218482206835,44,0,1,-0.37332314732288263,0.05,crush
33,-19.753823554309527,60,0,1,-0.32923039257182546,0.05,crush
34,-17.029764890643776,61,0,1,-0.27917647361711107,0.05,crush
35,-17.38964663501023,54,0,1,-0.3220304932409302,0.05,crush
36,-16.935778492675176,58,0,1,-0.2919961809081927,0.05,crush
37,-17.17787099482788,53,0,1,-0.3241107734873185,0.05,crush
38,-16.957865876630287,60,0,1,-0.2826310979438381,0.05,crush
39,-18.667112038769126,51,0,1,-0.36602180468174755,0.05,crush
40,-18.33802940136043,49,0,1,-0.37424549798694756,0.05,crush
41,-18.37137485702531,56,0,1,-0.3280602653040234,0.05,crush
42,-14.893688040938839,65,0,1,-0.22913366216828984,0.05,crush
43,-18.86256713541202,57,0,1,-0.3309222304458249,0.05,crush
44,-16.426999834316625,62,0,1,-0.2649516102309133,0.05,crush
45,-17.816469366150727,63,0,1,-0.28280110105001155,0.05,crush
46,-18.029076740145094,97,0,1,-0.18586677051695974,0.05,crush
47,-16.139009350754314,70,0,1,-0.23055727643934734,0.05,crush
48,-31.321309706877432,175,0,1,-0.17897891261072818,0.05,crush
49,-32.783211642599106,187,0,1,-0.17531129220641234,0.05,crush
