episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end
1,-55.3013736897087,211,0,1,-0.26209181843463836,0.99
2,-31.055139752392822,1,0,1,-31.055139752392822,0.9801
3,-30.873272871006552,1,0,1,-30.873272871006552,0.9702989999999999
4,3.646153738411833,107,0,1,0.034076203162727414,0.96059601
5,-30.76166348318405,1,0,1,-30.76166348318405,0.9509900498999999
6,-30.540168678179356,1,0,1,-30.540168678179356,0.9414801494009999
7,3.0205118713141097,79,0,1,0.03823432748498873,0.9320653479069899
8,-30.468697034345986,1,0,1,-30.468697034345986,0.92274469442792
9,-30.61729758781896,1,0,1,-30.61729758781896,0.9135172474836407
10,1.1124697368887766,177,0,1,0.006285139756433766,0.9043820750088043
11,-30.5566157894028,1,0,1,-30.5566157894028,0.8953382542587163
12,-30.640111148020644,1,0,1,-30.640111148020644,0.8863848717161291
13,-39.632002404578905,92,0,1,-0.4307826348323794,0.8775210229989678
14,-31.263843252039287,1,0,1,-31.263843252039287,0.8687458127689781
15,-30.53243442017354,1,0,1,-30.53243442017354,0.8600583546412883
16,-54.080393840625575,180,0,1,-0.30044663244791986,0.8514577710948754
17,-31.022534711849453,1,0,1,-31.022534711849453,0.8429431933839266
18,-30.640000328078404,1,0,1,-30.640000328078404,0.8345137614500874
19,2.653538280429075,91,0,1,0.029159761323396427,0.8261686238355865
20,-30.506285162779058,1,0,1,-30.506285162779058,0.8179069375972307
21,-30.86473375820106,1,0,1,-30.86473375820106,0.8097278682212583
22,-39.4899691245564,156,0,1,-0.2531408277215154,0.8016305895390458
23,-31.36418890905202,1,0,1,-31.36418890905202,0.7936142836436553
24,-30.832805880351987,1,0,1,-30.832805880351987,0.7856781408072188
25,-16.48692588829998,93,0,1,-0.17727877299247288,0.7778213593991465
26,-30.71839161448406,1,0,1,-30.71839161448406,0.7700431458051551
27,-30.540168861694706,1,0,1,-30.540168861694706,0.7623427143471035
28,5.90301554343629,114,0,1,0.05178083810031833,0.7547192872036325
29,-30.98530720829736,1,0,1,-30.98530720829736,0.7471720943315961
30,-30.540002550885344,1,0,1,-30.540002550885344,0.7397003733882802
31,-29.790644212208715,111,0,1,-0.2683841820919704,0.7323033696543974
32,-31.319527961700235,1,0,1,-31.319527961700235,0.7249803359578534
33,-30.866878968539993,1,0,1,-30.866878968539993,0.7177305325982748
34,-30.51523656394477,1,0,1,-30.51523656394477,0.7105532272722921
35,-1.1303853507596067,125,0,1,-0.009043082806076854,0.7034476949995692
36,-33.33004145071111,1,0,1,-33.33004145071111,0.6964132180495735
37,-29.908672536090055,1,0,1,-29.908672536090055,0.6894490858690777
38,-47.30857271160279,66,0,1,-0.7167965562364059,0.682554595010387
39,-31.048947227710038,1,0,1,-31.048947227710038,0.6757290490602831
40,-30.852350928864954,1,0,1,-30.852350928864954,0.6689717585696803
41,4.862525863803398,142,0,1,0.034243139885939425,0.6622820409839835
42,-30.597860603241163,1,0,1,-30.597860603241163,0.6556592205741436
43,-30.88298530921266,1,0,1,-30.88298530921266,0.6491026283684022
44,-48.62846806145896,90,0,1,-0.5403163117939884,0.6426116020847181
45,16.376900590499176,112,0,1,0.1462223267008855,0.6361854860638709
46,-30.777150763971544,1,0,1,-30.777150763971544,0.6298236312032323
47,-30.875013656475016,1,0,1,-30.875013656475016,0.6235253948912
48,3.5173857423068497,74,0,1,0.04753223976090337,0.617290140942288
49,-30.638712981075837,1,0,1,-30.638712981075837,0.6111172395328651
50,-30.689268548795194,1,0,1,-30.689268548795194,0.6050060671375365
51,-60.621644157161796,157,0,1,-0.3861251220201388,0.5989560064661611
52,-30.988638720460052,1,0,1,-30.988638720460052,0.5929664464014994
53,-30.88407218261056,1,0,1,-30.88407218261056,0.5870367819374844
54,4.0220249164629,204,0,1,0.019715808414033826,0.5811664141181095
55,-30.773062494855903,1,0,1,-30.773062494855903,0.5753547499769285
56,-30.535720669761986,1,0,1,-30.535720669761986,0.5696012024771592
57,-58.985907633149495,135,0,1,-0.4369326491344407,0.5639051904523876
58,-21.701104317142587,2,0,1,-10.850552158571293,0.5582661385478638
59,-30.79809645438214,1,0,1,-30.79809645438214,0.5526834771623851
60,11.58588758001165,105,0,1,0.11034178647630144,0.5471566423907612
61,-30.627211410498177,1,0,1,-30.627211410498177,0.5416850759668536
62,-30.5347924703095,1,0,1,-30.5347924703095,0.536268225207185
63,-54.527611419832645,109,0,1,-0.5002533157782811,0.5309055429551132
64,-30.994883108075197,1,0,1,-30.994883108075197,0.525596487525562
65,-30.508452452554447,1,0,1,-30.508452452554447,0.5203405226503064
66,-23.685845255975362,111,0,1,-0.21338599329707533,0.5151371174238033
67,-30.87525313510625,1,0,1,-30.87525313510625,0.5099857462495653
68,-30.5400187101323,1,0,1,-30.5400187101323,0.5048858887870696
