episode,step,action,reward,epsilon,distance_to_goal,min_laser,done,reason,total_reward_so_far
1,1,0,0.21999999998072267,0.99,6.000019826962627,0.9109792113304138,0,continue,0.21999999998072267
1,2,1,0.36919416681190464,0.99,5.981370556041313,0.949143648147583,0,continue,0.5891941667926273
1,3,0,1.195340008446148,0.99,5.859453052789485,1.021659255027771,0,continue,1.7845341752387753
1,4,1,0.6923135815680688,0.99,5.8004138493702415,1.071195363998413,0,continue,2.476847756806844
1,5,2,0.7419292220592775,0.99,5.730730702541489,1.0920627117156982,0,continue,3.2187769788661216
1,6,0,0.5398480705718465,0.99,5.690713462184609,1.1120754480361938,0,continue,3.758625049437968
1,7,0,0.22751412618010827,0.99,5.689738586573026,1.160509705543518,0,continue,3.986139175618076
1,8,1,0.7720738273281462,0.99,5.620105999154232,1.2051957845687866,0,continue,4.758213002946222
1,9,1,1.1529556586974117,0.99,5.499843804733005,1.2120157480239868,0,continue,5.911168661643634
1,10,1,0.7163939679424199,0.99,5.434407975052646,1.2137852907180786,0,continue,6.627562629586054
1,11,0,0.23162095458431445,0.99,5.432441624010587,1.2265383005142212,0,continue,6.859183584170368
1,12,1,0.21532292110726353,0.99,5.4329196312714,1.2837811708450317,0,continue,7.074506505277632
1,13,0,0.746493926663869,0.99,5.365798778198946,1.351248025894165,0,continue,7.821000431941501
1,14,2,0.8618863531903271,0.99,5.311817383197364,1.4683547019958496,0,continue,8.682886785131828
1,15,1,0.48432016200770023,0.99,5.25990247469932,1.4826323986053467,0,continue,9.167206947139528
1,16,2,0.4642393394033274,0.99,5.215959894812981,1.4693071842193604,0,continue,9.631446286542856
1,17,1,0.06417226403605775,0.99,5.214033700159216,1.491973638534546,0,continue,9.695618550578914
1,18,2,0.03629295836354704,0.99,5.213942275246553,1.5829553604125977,0,continue,9.73191150894246
1,19,1,0.14352181979228962,0.99,5.215092140718462,1.6314172744750977,0,continue,9.875433328734749
1,20,0,0.14844427527622514,0.99,5.215176843879067,1.6839876174926758,0,continue,10.023877604010973
1,21,1,0.27159058755755827,0.99,5.215312763719508,1.692766547203064,0,continue,10.295468191568531
1,22,1,0.537552822601468,0.99,5.178369470446887,1.7057605981826782,0,continue,10.833021014169999
1,23,2,0.15021984029977775,0.99,5.153652327220977,1.691445231437683,0,continue,10.983240854469777
1,24,1,0.01543661006485561,0.99,5.153724922152819,1.6989960670471191,0,continue,10.998677464534632
1,25,0,-0.020176928779450598,0.99,5.153561703054849,1.6958638429641724,0,continue,10.978500535755181
1,26,0,0.017354465150390477,0.99,5.153002077885465,1.7281477451324463,0,continue,10.995855000905571
1,27,0,0.05211037029160652,0.99,5.145231251260814,1.7785775661468506,0,continue,11.047965371197177
1,28,0,-0.19981421216366071,0.99,5.158301715847812,1.7681808471679688,0,continue,10.848151159033517
1,29,1,-0.37966242932830474,0.99,5.20115855260103,1.7789453268051147,0,continue,10.468488729705212
1,30,1,-0.34242918143906187,0.99,5.24377358391922,1.782313346862793,0,continue,10.12605954826615
1,31,0,-0.15743345198486333,0.99,5.25631559839359,1.8011298179626465,0,continue,9.968626096281287
1,32,0,-0.07154972324820898,0.99,5.256806280518795,1.801811933517456,0,continue,9.897076373033078
1,33,2,-0.29158207191077945,0.99,5.275405872384721,1.7675870656967163,0,continue,9.605494301122299
1,34,2,-0.8132553893343334,0.99,5.3489203157821965,1.72887122631073,0,continue,8.792238911787965
1,35,0,-0.8138214829834916,0.99,5.420992741789112,1.728060245513916,0,continue,7.978417428804474
1,36,0,-0.20454041650269855,0.99,5.424096353428893,1.7156853675842285,0,continue,7.773877012301775
1,37,0,-0.31215262127186494,0.99,5.448315601653207,1.7173833847045898,0,continue,7.46172439102991
1,38,2,-0.4728255934680734,0.99,5.492697987797694,1.6595278978347778,0,continue,6.988898797561837
1,39,2,-0.6319167311149425,0.99,5.552706047485338,1.62514328956604,0,continue,6.356982066446895
1,40,1,-0.34009359382340076,0.99,5.583922912340353,1.5962023735046387,0,continue,6.016888472623494
1,41,1,0.029988339624009958,0.99,5.58498816702574,1.5647779703140259,0,continue,6.046876812247504
1,42,2,-0.21086474690262533,0.99,5.5848433573512315,1.5617464780807495,0,continue,5.836012065344879
1,43,2,-0.14192114905290643,0.99,5.585333514175361,1.5269297361373901,0,continue,5.694090916291973
1,44,1,-0.10648536239835257,0.99,5.585907592857772,1.5094183683395386,0,continue,5.587605553893621
1,45,2,-0.2614916758044974,0.99,5.584447169979591,1.49764883518219,0,continue,5.3261138780891235
1,46,1,0.05077366752060686,0.99,5.584806555201901,1.4898366928100586,0,continue,5.376887545609731
1,47,2,-0.19541613909539834,0.99,5.585339471035485,1.501989722251892,0,continue,5.181471406514333
1,48,1,-0.039804554186805424,0.99,5.585629536475381,1.5010007619857788,0,continue,5.1416668523275275
1,49,1,0.03771003622261912,0.99,5.5854386423226305,1.5114151239395142,0,continue,5.179376888550147
1,50,2,-0.2332013971521863,0.99,5.585227658917384,1.5006839036941528,0,continue,4.946175491397961
1,51,0,-0.1457129530630272,0.99,5.586099643527446,1.4781100749969482,0,continue,4.8004625383349335
1,52,0,-0.1966984403972623,0.99,5.584724201945832,1.5055773258209229,0,continue,4.603764097937671
1,53,2,-0.5283096170718614,0.99,5.625902887069402,1.4950191974639893,0,continue,4.07545448086581
1,54,1,-0.6022224258102158,0.99,5.700733737366196,1.4944660663604736,0,continue,3.473232055055594
1,55,1,-0.07354128143507163,0.99,5.724588719640673,1.4822914600372314,0,continue,3.3996907736205224
1,56,1,0.06765143676043342,0.99,5.725671041482409,1.5185571908950806,0,continue,3.4673422103809557
1,57,2,-0.32063682019752404,0.99,5.72625115803938,1.4983009099960327,0,continue,3.1467053901834316
1,58,2,-0.24146348116438643,0.99,5.725352932590487,1.4367830753326416,0,continue,2.905241909019045
1,59,2,-0.2515386031630561,0.99,5.725278068106654,1.410640835762024,0,continue,2.653703305855989
1,60,2,-0.17068365197242055,0.99,5.721901333062762,1.4276652336120605,0,continue,2.4830196538835687
1,61,2,-0.12152512392919687,0.99,5.722294282969593,1.430129051208496,0,continue,2.361494529954372
1,62,2,-0.08182497587589224,0.99,5.722387793119873,1.4418151378631592,0,continue,2.2796695540784797
1,63,2,-0.04777544470159148,0.99,5.722325530452885,1.4372950792312622,0,continue,2.231894109376888
1,64,2,0.009308456302304015,0.99,5.722006522813539,1.4327853918075562,0,continue,2.241202565679192
1,65,2,0.12173202710137163,0.99,5.721669879112083,1.385677695274353,0,continue,2.3629345927805634
1,66,1,0.1246114427724982,0.99,5.72152525697901,1.3859108686447144,0,continue,2.4875460355530614
1,67,2,0.06707421998874963,0.99,5.721773440733553,1.3920825719833374,0,continue,2.554620255541811
1,68,0,0.1251844910390282,0.99,5.720517153056703,1.3912931680679321,0,continue,2.6798047465808392
1,69,0,0.18429776264842895,0.99,5.711495911114188,1.3849132061004639,0,continue,2.864102509229268
1,70,0,1.0306152392270715,0.99,5.607613993005037,1.3813663721084595,0,continue,3.8947177484563396
1,71,2,2.350570353263891,0.99,5.335327053329639,1.416183352470398,0,continue,6.245288101720231
1,72,0,0.26558253359767503,0.99,5.3232525094525895,1.501775860786438,0,continue,6.5108706353179056
1,73,1,0.4818244340516359,0.99,5.2893399136962405,1.6933462619781494,0,continue,6.9926950693695415
1,74,1,0.9776997758984554,0.99,5.196043036650264,1.8200557231903076,0,continue,7.970394845267997
1,75,0,0.17238432294667733,0.99,5.1962792910983175,1.8212172985076904,0,continue,8.142779168214673
1,76,0,0.250455969474341,0.99,5.18339615926764,1.9068799018859863,0,continue,8.393235137689015
1,77,1,0.9994746657380895,0.99,5.079327356165183,1.9130733013153076,0,continue,9.392709803427104
1,78,0,0.9935242706693763,0.99,4.973787250359872,1.9136404991149902,0,continue,10.38623407409648
1,79,2,0.2962985327167049,0.99,4.9558659246762184,1.8811182975769043,0,continue,10.682532606813185
1,80,1,0.4948024745402433,0.99,4.895565777862981,1.7207319736480713,0,continue,11.177335081353428
1,81,0,0.15189136392135041,0.99,4.895723398664276,1.631549596786499,0,continue,11.329226445274779
1,82,0,0.1902990560899885,0.99,4.881123004061464,1.5242393016815186,0,continue,11.519525501364768
