episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-67.45051224796393,247,0,1,-0.27307899695531956,0.05,crush
2,-152.0041578023045,1000,0,0,-0.1520041578023045,0.05,overtime
3,-33.56792273450513,4,0,1,-8.391980683626283,0.05,crush
4,-32.01962057778239,4,0,1,-8.004905144445598,0.05,crush
5,-33.064489360357314,55,0,1,-0.6011725338246784,0.05,crush
6,-31.873294668691297,4,0,1,-7.968323667172824,0.05,crush
7,-33.552651267917945,4,0,1,-8.388162816979486,0.05,crush
8,-55.99459157447592,213,0,1,-0.26288540645293856,0.05,crush
9,-34.12667458707251,4,0,1,-8.531668646768127,0.05,crush
10,-33.57293818365829,4,0,1,-8.393234545914572,0.05,crush
11,-43.27648046174055,4,0,1,-10.819120115435137,0.05,crush
12,-77.41885413856696,269,0,1,-0.2878024317418846,0.05,crush
13,-35.13786994479418,4,0,1,-8.784467486198546,0.05,crush
14,-45.24027101558135,32,0,1,-1.4137584692369172,0.05,crush
15,-31.907822918029883,4,0,1,-7.976955729507471,0.05,crush
16,-26.380555271043857,69,0,1,-0.38232688798614284,0.05,crush
17,-33.600444798465396,4,0,1,-8.400111199616349,0.05,crush
18,-44.716959035379624,63,0,1,-0.7097930005615813,0.05,crush
19,-32.32921085328578,4,0,1,-8.082302713321445,0.05,crush
20,-38.019590416965585,12,0,1,-3.1682992014137987,0.05,crush
21,-26.289658435731504,36,0,1,-0.7302682898814307,0.05,crush
22,-31.96259146304227,4,0,1,-7.990647865760567,0.05,crush
23,-38.77895288575972,16,0,1,-2.4236845553599826,0.05,crush
24,-29.959649935025293,11,0,1,-2.723604539547754,0.05,crush
25,-34.18552408123588,4,0,1,-8.54638102030897,0.05,crush
26,-36.14481595982532,17,0,1,-2.1261656446956074,0.05,crush
27,-41.7631447955018,48,0,1,-0.8700655165729542,0.05,crush
28,-32.66587348223812,4,0,1,-8.16646837055953,0.05,crush
29,-58.50197973930581,312,0,1,-0.18750634531828786,0.05,crush
30,-32.16031757822637,4,0,1,-8.040079394556592,0.05,crush
31,-31.869407965026927,4,0,1,-7.967351991256732,0.05,crush
32,-31.981860477647984,4,0,1,-7.995465119411996,0.05,crush
33,-32.24275876415702,4,0,1,-8.060689691039254,0.05,crush
34,-36.85158804370483,17,0,1,-2.1677404731591077,0.05,crush
35,-47.46334299960442,51,0,1,-0.930653784305969,0.05,crush
36,-32.0800389426229,4,0,1,-8.020009735655725,0.05,crush
37,-42.5282723588169,26,0,1,-1.6357027830314192,0.05,crush
38,-27.797990371246506,47,0,1,-0.5914466036435427,0.05,crush
39,-100.50402611225867,258,0,1,-0.38955048880720416,0.05,crush
40,-33.24828317667647,4,0,1,-8.312070794169118,0.05,crush
41,-32.32233853521842,4,0,1,-8.080584633804605,0.05,crush
42,-32.33356579117536,4,0,1,-8.08339144779384,0.05,crush
43,-36.53855513368502,13,0,1,-2.8106580872065403,0.05,crush
44,-32.308724917573656,4,0,1,-8.077181229393414,0.05,crush
45,-46.585946210695624,56,0,1,-0.8318918966195648,0.05,crush
46,-32.68754926154258,4,0,1,-8.171887315385645,0.05,crush
47,-80.51769374280978,392,0,1,-0.2054022799561474,0.05,crush
48,-32.342076320817185,4,0,1,-8.085519080204296,0.05,crush
49,-36.05768745468687,4,0,1,-9.014421863671718,0.05,crush
50,-28.903366912589963,8,0,1,-3.6129208640737454,0.05,crush
51,-31.978067383389746,4,0,1,-7.9945168458474365,0.05,crush
52,-22.521160263140878,38,0,1,-0.5926621121879179,0.05,crush
53,-34.09649035342586,4,0,1,-8.524122588356464,0.05,crush
54,-50.39099006299401,82,0,1,-0.6145242690609025,0.05,crush
55,-32.20440350016793,4,0,1,-8.051100875041982,0.05,crush
56,-51.921457749491594,105,0,1,-0.49449007380468185,0.05,crush
57,-48.644909187793616,4,0,1,-12.161227296948404,0.05,crush
58,-26.47642145041329,57,0,1,-0.46449862193707525,0.05,crush
59,-32.64947263269748,4,0,1,-8.16236815817437,0.05,crush
60,-22.896734023174208,95,0,1,-0.24101825287551798,0.05,crush
61,-35.96138355713671,22,0,1,-1.6346083435062142,0.05,crush
62,-32.21289718953859,4,0,1,-8.053224297384647,0.05,crush
63,-23.876436218187916,62,0,1,-0.3851038099707728,0.05,crush
64,-32.93253203454933,4,0,1,-8.233133008637333,0.05,crush
65,-42.440695221062505,20,0,1,-2.122034761053125,0.05,crush
66,-37.804140881372646,24,0,1,-1.5751725367238603,0.05,crush
67,-61.292557555450706,176,0,1,-0.3482531679286972,0.05,crush
68,-31.785585434766652,4,0,1,-7.946396358691663,0.05,crush
69,-34.800547899019826,4,0,1,-8.700136974754956,0.05,crush
70,-34.28155308471788,180,0,1,-0.1904530726928771,0.05,crush
71,-32.21599060802852,4,0,1,-8.05399765200713,0.05,crush
72,-32.526261415871595,4,0,1,-8.131565353967899,0.05,crush
73,-26.059357564542754,51,0,1,-0.5109677953831913,0.05,crush
74,-31.981030829636467,4,0,1,-7.995257707409117,0.05,crush
75,-51.956365315305526,116,0,1,-0.44789970099401316,0.05,crush
76,-39.21260551752334,4,0,1,-9.803151379380836,0.05,crush
77,-36.16798672879973,26,0,1,-1.3910764126461435,0.05,crush
78,-47.23849555067007,96,0,1,-0.4920676619861466,0.05,crush
79,-32.18550413310624,4,0,1,-8.04637603327656,0.05,crush
80,-20.245670734696603,76,0,1,-0.26639040440390266,0.05,crush
81,-34.39690487067416,4,0,1,-8.59922621766854,0.05,crush
82,-47.27669472084288,56,0,1,-0.844226691443623,0.05,crush
83,-32.750966969922175,4,0,1,-8.187741742480544,0.05,crush
84,-37.67602633146241,13,0,1,-2.8981558716509546,0.05,crush
85,-31.60449733076741,10,0,1,-3.160449733076741,0.05,crush
86,-58.11898080996369,128,0,1,-0.4540545375778413,0.05,crush
87,-31.6068776286848,4,0,1,-7.9017194071712,0.05,crush
88,-32.820663308133575,4,0,1,-8.205165827033394,0.05,crush
89,-51.02300890679668,130,0,1,-0.39248468389843605,0.05,crush
90,-32.7400511065638,4,0,1,-8.18501277664095,0.05,crush
91,-25.62490216904048,18,0,1,-1.4236056760578046,0.05,crush
92,-32.05878699132163,55,0,1,-0.5828870362058478,0.05,crush
93,-34.97307674448666,4,0,1,-8.743269186121665,0.05,crush
94,-30.476973342462017,129,0,1,-0.2362556073059071,0.05,crush
95,-32.50601711202092,4,0,1,-8.12650427800523,0.05,crush
96,-26.5280277281733,35,0,1,-0.7579436493763799,0.05,crush
97,-31.870063028471275,4,0,1,-7.967515757117819,0.05,crush
98,-39.22720193110544,15,0,1,-2.6151467954070293,0.05,crush
99,-33.809827944632026,4,0,1,-8.452456986158007,0.05,crush
100,-40.63625764525031,29,0,1,-1.4012502636293211,0.05,crush
101,-22.041203346757015,23,0,1,-0.9583131889894354,0.05,crush
102,-32.46983046315658,4,0,1,-8.117457615789146,0.05,crush
103,-37.837670404741296,14,0,1,-2.7026907431958067,0.05,crush
104,-42.0208958631638,26,0,1,-1.616188302429377,0.05,crush
105,-43.24220990590729,59,0,1,-0.7329188119645303,0.05,crush
106,-30.101759302181573,8,0,1,-3.7627199127726967,0.05,crush
107,-84.91287596421023,321,0,1,-0.26452609334644933,0.05,crush
108,-33.11119256953451,4,0,1,-8.277798142383627,0.05,crush
109,-32.07398472944188,4,0,1,-8.01849618236047,0.05,crush
110,-31.89396187861941,4,0,1,-7.973490469654853,0.05,crush
111,-31.94639495487236,4,0,1,-7.98659873871809,0.05,crush
112,-48.56482382485588,54,0,1,-0.8993485893491829,0.05,crush
113,-33.72251654248589,4,0,1,-8.430629135621473,0.05,crush
114,-43.575274013833585,41,0,1,-1.0628115613130142,0.05,crush
115,-32.801110439795224,4,0,1,-8.200277609948806,0.05,crush
116,-24.495617678575613,32,0,1,-0.7654880524554879,0.05,crush
117,-31.563602421935656,4,0,1,-7.890900605483914,0.05,crush
118,-84.21378863879,200,0,1,-0.42106894319395005,0.05,crush
119,-30.84682507707748,4,0,1,-7.71170626926937,0.05,crush
120,-32.20370129997218,4,0,1,-8.050925324993045,0.05,crush
121,-21.620090412798568,26,0,1,-0.831541938953791,0.05,crush
122,-34.78910165286476,8,0,1,-4.348637706608095,0.05,crush
123,-25.63129913584656,65,0,1,-0.394327679013024,0.05,crush
124,-61.51061505959623,92,0,1,-0.668593641952133,0.05,crush
125,-32.505735297613576,4,0,1,-8.126433824403394,0.05,crush
126,-52.28872832239557,178,0,1,-0.29375690068761556,0.05,crush
127,-32.66023581506195,4,0,1,-8.165058953765488,0.05,crush
128,-33.26315486570052,4,0,1,-8.31578871642513,0.05,crush
129,-34.712908217352705,16,0,1,-2.169556763584544,0.05,crush
130,-54.87899114189005,162,0,1,-0.3387592045795682,0.05,crush
131,-32.04456553332792,4,0,1,-8.01114138333198,0.05,crush
132,-33.24504083116847,4,0,1,-8.311260207792117,0.05,crush
133,-26.37089176058668,72,0,1,-0.3662623855637039,0.05,crush
134,-32.5084499826356,4,0,1,-8.1271124956589,0.05,crush
135,-48.831322418461625,226,0,1,-0.2160677983117771,0.05,crush
136,-32.26051849439469,4,0,1,-8.065129623598672,0.05,crush
137,-35.554075070027245,8,0,1,-4.444259383753406,0.05,crush
138,-32.21274009347189,4,0,1,-8.053185023367973,0.05,crush
139,-44.9310032683411,52,0,1,-0.8640577551604058,0.05,crush
140,-35.92367525840086,159,0,1,-0.2259350645182444,0.05,crush
141,-31.787610584636617,4,0,1,-7.946902646159154,0.05,crush
142,-39.82596120226651,94,0,1,-0.42368043832198415,0.05,crush
143,-31.494036181996485,72,0,1,-0.4374171691943956,0.05,crush
144,-32.41316320494043,4,0,1,-8.103290801235108,0.05,crush
145,-56.827331714074894,176,0,1,-0.32288256655724373,0.05,crush
146,-69.48012167743832,82,0,1,-0.8473185570419307,0.05,crush
147,-42.918852839423,27,0,1,-1.589587142200852,0.05,crush
148,-32.4057596314263,4,0,1,-8.101439907856575,0.05,crush
149,-67.88119974453431,99,0,1,-0.6856686842882254,0.05,crush
150,-36.53091695336175,4,0,1,-9.132729238340438,0.05,crush
151,-35.240430185795645,13,0,1,-2.7108023219842803,0.05,crush
152,-32.33513716227711,4,0,1,-8.083784290569277,0.05,crush
153,-38.17712383971376,13,0,1,-2.9367018338241353,0.05,crush
154,-35.9226800045278,44,0,1,-0.8164245455574499,0.05,crush
155,-32.23209865452578,4,0,1,-8.058024663631445,0.05,crush
156,-39.36363249055835,14,0,1,-2.8116880350398823,0.05,crush
157,-31.327717069512477,119,0,1,-0.2632581266345586,0.05,crush
158,-32.60405284487169,4,0,1,-8.151013211217922,0.05,crush
159,-29.350467946364315,4,0,1,-7.337616986591079,0.05,crush
160,-57.809467522557256,174,0,1,-0.33223831909515666,0.05,crush
