episode,step,action,reward,epsilon,distance_to_goal,min_laser,done,reason,total_reward_so_far
1,1,2,0.27591986479526764,0.99,6.0005700305839005,0.9007575511932373,0,continue,0.27591986479526764
1,2,2,0.2745711779732162,0.99,6.000010194402504,0.90016770362854,0,continue,0.5504910427684838
1,3,0,0.21939675933101316,0.99,6.00004694559059,0.9008350372314453,0,continue,0.769887802099497
1,4,2,0.26434147190876955,0.99,6.000129088962271,0.9019327163696289,0,continue,1.0342292740082666
1,5,1,0.5664078727773405,0.99,5.939778983243434,0.9023104906082153,0,continue,1.600637146785607
1,6,2,0.3760950345327704,0.99,5.908314513661113,0.9040546417236328,0,continue,1.9767321813183774
1,7,0,0.18974713667467522,0.99,5.908697650145412,0.9029380679130554,0,continue,2.1664793179930526
1,8,0,0.20845234246511554,0.99,5.90808612945925,0.8951989412307739,0,continue,2.3749316604581683
1,9,2,0.9225290039934698,0.99,5.856953684007378,0.9452352523803711,0,continue,3.297460664451638
1,10,1,0.7892421413977174,0.99,5.763685069855618,0.9793323278427124,0,continue,4.086702805849356
1,11,0,0.5196277846551716,0.99,5.715690028861815,0.9907845854759216,0,continue,4.606330590504528
1,12,2,0.3777034534208379,0.99,5.712667125709269,0.9997953176498413,0,continue,4.984034043925366
1,13,1,0.34202998968790754,0.99,5.681923750643724,1.0008867979049683,0,continue,5.326064033613274
1,14,0,0.565439767260324,0.99,5.637112629494941,1.1027557849884033,0,continue,5.891503800873598
1,15,0,0.21940091787306362,0.99,5.635227723716157,1.1578160524368286,0,continue,6.110904718746662
1,16,0,0.46849621356669313,0.99,5.602217396272304,1.2017488479614258,0,continue,6.579400932313355
1,17,0,1.015850219041092,0.99,5.501383893764834,1.2095340490341187,0,continue,7.595251151354447
1,18,2,1.4147891503217995,0.99,5.378801389859646,1.2538613080978394,0,continue,9.010040301676247
1,19,2,1.289642475134617,0.99,5.267539088134704,1.2663663625717163,0,continue,10.299682776810863
1,20,0,0.8597710549971318,0.99,5.186073185062545,1.2710769176483154,0,continue,11.159453831807996
1,21,2,0.4605017580087718,0.99,5.180488534029651,1.3049874305725098,0,continue,11.619955589816767
1,22,1,0.4231535135043154,0.99,5.138928296134659,1.4328820705413818,0,continue,12.043109103321083
1,23,1,0.5426290656172114,0.99,5.0905199464524085,1.5064986944198608,0,continue,12.585738168938294
1,24,2,0.17384516319574805,0.99,5.087772357275186,1.667773962020874,0,continue,12.759583332134042
1,25,0,0.17746052297779655,0.99,5.085302475783704,1.733341932296753,0,continue,12.937043855111838
1,26,0,0.2128800364339634,0.99,5.0849474921719535,1.7289645671844482,0,continue,13.149923891545802
1,27,0,0.5264129301008208,0.99,5.044433396478189,1.8237371444702148,0,continue,13.676336821646622
1,28,2,0.8165351561620317,0.99,4.964584565864297,1.8353296518325806,0,continue,14.492871977808653
1,29,0,0.5561566744033725,0.99,4.902472825010506,1.8493133783340454,0,continue,15.049028652212025
1,30,1,0.36941659294383355,0.99,4.869614094882154,1.84059476852417,0,continue,15.418445245155858
1,31,0,0.5701120199363183,0.99,4.822364130643239,1.8355178833007812,0,continue,15.988557265092176
1,32,1,0.7394647181433899,0.99,4.7570163497636395,1.9113435745239258,0,continue,16.728021983235564
