episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-33.217176627540994,131,0,1,-0.25356623379802284,0.05,crush
2,-76.65972644668692,342,0,1,-0.2241512469201372,0.05,crush
3,-27.03485272529197,137,0,1,-0.19733469142548882,0.05,crush
4,-80.32348416618456,469,0,1,-0.17126542466137432,0.05,crush
5,-39.883635821808426,128,0,1,-0.3115909048578783,0.05,crush
6,-31.46414845482545,83,0,1,-0.37908612596175245,0.05,crush
7,-21.747166560969056,47,0,1,-0.46270567150997993,0.05,crush
8,-26.04312434486902,69,0,1,-0.3774365847082467,0.05,crush
9,-17.67702069112959,62,0,1,-0.2851132369537031,0.05,crush
10,-21.4525797247637,75,0,1,-0.2860343963301827,0.05,crush
11,-17.817033042073994,57,0,1,-0.3125795270539297,0.05,crush
12,-16.183218621756595,70,0,1,-0.23118883745366564,0.05,crush
13,-19.2267926338689,70,0,1,-0.2746684661981271,0.05,crush
14,-22.283571624805596,74,0,1,-0.30112934628115673,0.05,crush
15,-24.2077101575712,73,0,1,-0.3316124679119342,0.05,crush
16,-32.31351377260678,173,0,1,-0.1867833166046635,0.05,crush
17,1.2400625226725488,114,0,0,0.010877741426952182,0.05,stuck
18,-57.84247258227494,364,0,1,-0.15890789170954653,0.05,crush
19,-41.02349958116251,290,0,1,-0.141460343383319,0.05,crush
20,-19.742842972685125,110,0,1,-0.17948039066077387,0.05,crush
21,-17.864945854877064,99,0,1,-0.18045399853411176,0.05,crush
22,-17.909952724647646,129,0,1,-0.13883684282672593,0.05,crush
23,-19.039313633644888,105,0,1,-0.1813267965109037,0.05,crush
24,-21.70183095114915,122,0,1,-0.1778838602553209,0.05,crush
25,-47.01548312635342,58,0,1,-0.8106117780405763,0.05,crush
26,-21.89832893032547,185,0,1,-0.11836934556932686,0.05,crush
27,-54.7711523766561,268,0,1,-0.20436997155468692,0.05,crush
28,-27.112719501460965,155,0,1,-0.17492077097716752,0.05,crush
29,-38.489828583578,123,0,1,-0.31292543563884556,0.05,crush
30,-37.6148214639126,337,0,1,-0.1116166809018178,0.05,crush
31,-46.124913190887646,460,0,1,-0.10027155041497314,0.05,crush
32,-27.611720541662443,224,0,1,-0.12326660956099304,0.05,crush
33,-18.48205299797275,185,0,1,-0.09990298917823108,0.05,crush
34,70.84568761985712,170,1,0,0.416739338940336,0.05,reach
35,-14.422998812937827,164,0,1,-0.08794511471303552,0.05,crush
36,-22.496396056021446,192,0,1,-0.11716872945844503,0.05,crush
37,-34.22404016277426,91,0,1,-0.37608835343707975,0.05,crush
38,-43.28988208662212,40,0,1,-1.082247052165553,0.05,crush
39,-38.115589833268196,104,0,1,-0.3664960560891173,0.05,crush
40,-29.661845644432226,111,0,1,-0.26722383463452454,0.05,crush
41,-31.374017125959963,96,0,1,-0.3268126783954163,0.05,crush
42,-36.12874969251166,92,0,1,-0.3927038010055615,0.05,crush
43,-41.19630906868493,44,0,1,-0.9362797515610212,0.05,crush
44,-38.460475540268746,99,0,1,-0.38848965192190654,0.05,crush
