episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end
1,-19.353805888014932,118,0,1,-0.16401530413571977,0.99
2,-48.038409492309995,141,0,1,-0.34069793966177303,0.9801
3,3.625904618716717,76,0,1,0.04770927129890418,0.9702989999999999
4,-47.38320173168344,102,0,1,-0.46454119344787687,0.96059601
5,4.376920151191566,103,0,1,0.042494370399918116,0.9509900498999999
6,2.36848098902221,87,0,1,0.02722391941404839,0.9414801494009999
7,-30.51194013067784,1,0,1,-30.51194013067784,0.9320653479069899
8,3.913434659778126,64,0,1,0.06114741655903322,0.92274469442792
9,-52.6128184786139,138,0,1,-0.3812523078160428,0.9135172474836407
10,-31.011914938345626,1,0,1,-31.011914938345626,0.9043820750088043
11,-21.90322928875716,108,0,1,-0.20280767859960333,0.8953382542587163
12,-45.66669529546499,64,0,1,-0.7135421139916405,0.8863848717161291
13,1.9144434497488128,96,0,1,0.0199421192682168,0.8775210229989678
14,-44.38806056736012,78,0,1,-0.56907769958154,0.8687458127689781
15,-2.653746535294246,81,0,1,-0.03276230290486724,0.8600583546412883
16,3.2298981210774507,78,0,1,0.041408950270223725,0.8514577710948754
17,2.6369297369461826,90,0,1,0.02929921929940203,0.8429431933839266
18,-49.663164113801976,89,0,1,-0.5580130799303593,0.8345137614500874
19,-2.875148705513144,87,0,1,-0.033047686270266025,0.8261686238355865
20,-10.794878511090939,138,0,1,-0.07822375732674594,0.8179069375972307
21,5.582455183759606,111,0,1,0.05029238904287933,0.8097278682212583
22,-30.540000005364668,1,0,1,-30.540000005364668,0.8016305895390458
23,5.006698951454748,77,0,1,0.06502206430460712,0.7936142836436553
24,3.4900005597905057,90,0,1,0.03877778399767229,0.7856781408072188
25,-3.7128718109759795,76,0,1,-0.048853576460210255,0.7778213593991465
26,5.050807145872579,68,0,1,0.07427657567459675,0.7700431458051551
27,3.907999926827074,74,0,1,0.052810809821987485,0.7623427143471035
28,1.097821253625721,60,0,1,0.018297020893762016,0.7547192872036325
29,7.3796902107643945,139,0,1,0.053091296480319385,0.7471720943315961
30,-30.526701478958383,1,0,1,-30.526701478958383,0.7397003733882802
31,3.829966149966335,75,0,1,0.05106621533288447,0.7323033696543974
32,-4.676300418156522,70,0,1,-0.06680429168795032,0.7249803359578534
33,8.368477665719915,109,0,1,0.07677502445614601,0.7177305325982748
34,-38.83398427237495,207,0,1,-0.18760378875543454,0.7105532272722921
35,-45.81509958084093,90,0,1,-0.5090566620093436,0.7034476949995692
36,1.1124858839154115,138,0,1,0.008061491912430519,0.6964132180495735
37,-2.966830287101363,169,0,1,-0.01755520879941635,0.6894490858690777
