episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end
1,-172.30251106053697,216,0,1,-0.7976968104654489,0.99
2,-31.57642590794031,1,0,1,-31.57642590794031,0.9801
3,-30.816978937667535,1,0,1,-30.816978937667535,0.9702989999999999
4,-131.8808251685501,133,0,1,-0.9915851516432339,0.96059601
5,-31.59998298576733,1,0,1,-31.59998298576733,0.9509900498999999
6,-30.802034546812344,1,0,1,-30.802034546812344,0.9414801494009999
7,-19.265222430737087,92,0,1,-0.2094045916384466,0.9320653479069899
8,-30.949566020354908,1,0,1,-30.949566020354908,0.92274469442792
9,-30.90948650286192,1,0,1,-30.90948650286192,0.9135172474836407
10,-22.84621882275195,101,0,1,-0.2262001863638807,0.9043820750088043
11,-30.921833516037417,1,0,1,-30.921833516037417,0.8953382542587163
12,-30.834053684541402,1,0,1,-30.834053684541402,0.8863848717161291
13,-30.814419582714038,1,0,1,-30.814419582714038,0.8775210229989678
14,-84.71222804731515,76,0,1,-1.1146345795699362,0.8687458127689781
15,-31.726559718493444,1,0,1,-31.726559718493444,0.8600583546412883
16,-30.817077624642604,1,0,1,-30.817077624642604,0.8514577710948754
17,-134.87252909252268,154,0,1,-0.8757956434579395,0.8429431933839266
18,-31.6961786423821,1,0,1,-31.6961786423821,0.8345137614500874
19,-30.83310459321517,1,0,1,-30.83310459321517,0.8261686238355865
20,-103.70797186111912,100,0,1,-1.0370797186111913,0.8179069375972307
21,-31.745410529332563,1,0,1,-31.745410529332563,0.8097278682212583
22,-30.82486309858607,1,0,1,-30.82486309858607,0.8016305895390458
23,-23.33500884817579,71,0,1,-0.3286620964531801,0.7936142836436553
24,-31.23064000331296,1,0,1,-31.23064000331296,0.7856781408072188
25,-30.79632581586703,1,0,1,-30.79632581586703,0.7778213593991465
26,-166.64987865635385,216,0,1,-0.7715272160016382,0.7700431458051551
27,-31.476269805710704,1,0,1,-31.476269805710704,0.7623427143471035
28,-30.810951109811477,1,0,1,-30.810951109811477,0.7547192872036325
29,-82.04662123516151,67,0,1,-1.2245764363456941,0.7471720943315961
30,-31.706969268343396,1,0,1,-31.706969268343396,0.7397003733882802
31,-30.82117385795022,1,0,1,-30.82117385795022,0.7323033696543974
32,-18.785346472131895,99,0,1,-0.18975097446597874,0.7249803359578534
33,-30.83413430853544,1,0,1,-30.83413430853544,0.7177305325982748
34,-30.81645292189605,1,0,1,-30.81645292189605,0.7105532272722921
35,-87.31657311291332,74,0,1,-1.1799536907150447,0.7034476949995692
36,-31.75094509373772,1,0,1,-31.75094509373772,0.6964132180495735
37,-30.815933602712644,1,0,1,-30.815933602712644,0.6894490858690777
38,-19.454259076785977,90,0,1,-0.21615843418651084,0.682554595010387
39,-30.888214526637057,1,0,1,-30.888214526637057,0.6757290490602831
40,-30.8094859149402,1,0,1,-30.8094859149402,0.6689717585696803
41,-29.597233423108456,101,0,1,-0.29304191508028177,0.6622820409839835
42,-30.81212669650761,1,0,1,-30.81212669650761,0.6556592205741436
43,-30.808322293131194,1,0,1,-30.808322293131194,0.6491026283684022
44,-97.81415833165904,124,0,1,-0.7888238575133794,0.6426116020847181
45,-31.612502146912938,1,0,1,-31.612502146912938,0.6361854860638709
46,-30.83463319749108,1,0,1,-30.83463319749108,0.6298236312032323
47,-125.28282798926952,174,0,1,-0.7200162528118937,0.6235253948912
48,-31.687873320425865,1,0,1,-31.687873320425865,0.617290140942288
