episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,7.563783257421283,41,0,0,0.18448251847368985,0.05,stuck
2,5.886093903289251,41,0,0,0.1435632659338842,0.05,stuck
3,25.747250721650673,62,0,0,0.4152782374459786,0.05,stuck
4,4.928475004355812,41,0,0,0.12020670742331249,0.05,stuck
5,27.810054716665736,71,0,0,0.3916909115023343,0.05,stuck
6,19.10420350925751,41,0,0,0.46595618315262216,0.05,stuck
7,24.40966258921141,56,0,0,0.4358868319502038,0.05,stuck
8,7.271786036806715,41,0,0,0.1773606350440662,0.05,stuck
9,4.887816257521173,41,0,0,0.11921503067124813,0.05,stuck
10,26.000424712225325,63,0,0,0.41270515416230674,0.05,stuck
11,5.221402525523803,41,0,0,0.12735128111033664,0.05,stuck
12,24.65866404110027,65,0,0,0.3793640621707734,0.05,stuck
13,5.137571677128634,41,0,0,0.1253066262714301,0.05,stuck
14,4.610034619873911,41,0,0,0.11243986877741247,0.05,stuck
15,7.204278717328084,41,0,0,0.17571411505678253,0.05,stuck
16,26.484686392767166,63,0,0,0.42039184750424075,0.05,stuck
17,6.416467423377734,41,0,0,0.1564992054482374,0.05,stuck
18,4.863307425880788,41,0,0,0.11861725428977532,0.05,stuck
19,24.308385230774963,55,0,0,0.44197064055954477,0.05,stuck
20,8.366548490745984,44,0,0,0.190148829335136,0.05,stuck
21,4.811510008625191,41,0,0,0.11735390264939491,0.05,stuck
22,26.05813722203054,53,0,0,0.4916629664534064,0.05,stuck
23,5.713011910407468,41,0,0,0.13934175391237727,0.05,stuck
24,4.963446325381288,41,0,0,0.12105966647271435,0.05,stuck
25,8.17254321677892,70,0,1,0.11675061738255599,0.05,crush
26,26.361993093934903,51,0,0,0.5169018253712726,0.05,stuck
27,23.395652683227723,44,0,0,0.5317193791642665,0.05,stuck
28,24.422020949241826,51,0,0,0.4788631558674868,0.05,stuck
29,25.364485954924938,51,0,0,0.4973428618612733,0.05,stuck
30,7.588173645854197,41,0,0,0.18507740599644384,0.05,stuck
31,23.925706232545323,46,0,0,0.520124048533594,0.05,stuck
32,-4.912929622268709,41,0,0,-0.11982755176265143,0.05,stuck
33,24.65453699410456,50,0,0,0.49309073988209123,0.05,stuck
34,24.860539242831393,47,0,0,0.5289476434644977,0.05,stuck
35,25.14565527995402,51,0,0,0.49305206431282395,0.05,stuck
36,25.536669832426902,54,0,0,0.47290129319309077,0.05,stuck
37,22.17124067088939,42,0,0,0.5278866826402235,0.05,stuck
38,26.670940861415918,56,0,0,0.4762668010967128,0.05,stuck
39,28.822088038038082,58,0,0,0.4969325523799669,0.05,stuck
40,25.30247154587279,47,0,0,0.5383504584228254,0.05,stuck
41,24.768649159754503,45,0,0,0.5504144257723222,0.05,stuck
42,23.48707986842484,42,0,0,0.5592161873434486,0.05,stuck
43,23.52355156676492,42,0,0,0.5600845611134504,0.05,stuck
44,23.475148349717703,53,0,0,0.4429273273531642,0.05,stuck
45,22.518591555623896,42,0,0,0.5361569418005689,0.05,stuck
46,23.866619991881976,41,0,0,0.5821126827288287,0.05,stuck
47,22.495413907829487,49,0,0,0.4590900797516222,0.05,stuck
48,24.6318780377321,41,0,0,0.600777513115417,0.05,stuck
49,25.652481664522153,57,0,0,0.45004353797407287,0.05,stuck
50,0.8587036712076035,60,0,1,0.014311727853460058,0.05,crush
51,14.701228488564468,42,0,0,0.3500292497277254,0.05,stuck
52,1.7547776033733484,55,0,1,0.03190504733406088,0.05,crush
53,1.4578265784338242,58,0,1,0.02513494100747973,0.05,crush
54,12.102900866983646,44,0,0,0.27506592879508285,0.05,stuck
55,4.74872832617482,63,0,1,0.07537664009801302,0.05,crush
56,2.286445860169202,65,0,1,0.03517609015644926,0.05,crush
57,25.480707784455323,53,0,0,0.4807680714048174,0.05,stuck
58,25.809908315130656,44,0,0,0.5865888253438786,0.05,stuck
59,22.687243514064306,41,0,0,0.5533474027820563,0.05,stuck
60,24.863369669659562,45,0,0,0.5525193259924347,0.05,stuck
61,15.34820119849518,41,0,0,0.3743463706950044,0.05,stuck
62,28.075013626136283,57,0,0,0.4925440987041453,0.05,stuck
63,28.83838715311647,66,0,0,0.4369452598957041,0.05,stuck
64,8.388997273363376,41,0,0,0.20460968959422868,0.05,stuck
65,28.566862739011476,62,0,0,0.46075585062921737,0.05,stuck
66,24.016979177758536,45,0,0,0.5337106483946341,0.05,stuck
67,23.42651514835781,48,0,0,0.48805239892412106,0.05,stuck
68,23.72463906558244,50,0,0,0.4744927813116488,0.05,stuck
69,21.059009113446788,42,0,0,0.5014049788915902,0.05,stuck
70,21.664126906336392,42,0,0,0.5158125453889617,0.05,stuck
71,20.895455515568024,41,0,0,0.5096452564772689,0.05,stuck
72,25.987453475550357,59,0,0,0.4404653131449213,0.05,stuck
73,25.77009857763586,56,0,0,0.4601803317434975,0.05,stuck
74,30.014902076141098,65,0,0,0.4617677242483246,0.05,stuck
75,24.770285664405048,59,0,0,0.41983535024415336,0.05,stuck
76,26.811875872774646,59,0,0,0.4544385741148245,0.05,stuck
77,24.515785363010234,52,0,0,0.4714574108271199,0.05,stuck
78,25.407645339035312,58,0,0,0.43806285067302264,0.05,stuck
79,26.469480741624082,49,0,0,0.5401934845229405,0.05,stuck
80,22.400204726418558,49,0,0,0.4571470352330318,0.05,stuck
81,26.407021884883076,54,0,0,0.48901892379413103,0.05,stuck
82,23.874916993016086,47,0,0,0.5079769572982146,0.05,stuck
83,23.25446664754683,49,0,0,0.4745809519907517,0.05,stuck
