episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-161.5087647162096,1000,0,0,-0.16150876471620962,0.05,overtime
2,-62.28313236466272,239,0,1,-0.2605988801868733,0.05,crush
3,-55.424778883058806,126,0,1,-0.4398791974845937,0.05,crush
4,-53.64925468356009,105,0,1,-0.5109452827005723,0.05,crush
5,-56.59373659385949,172,0,1,-0.32903335228988073,0.05,crush
6,-58.57425334236612,161,0,1,-0.36381523815134237,0.05,crush
7,-59.86260071196833,216,0,1,-0.2771416699628163,0.05,crush
8,-18.856980308422727,67,0,1,-0.28144746728989145,0.05,crush
9,-25.080975696778356,66,0,1,-0.38001478328452054,0.05,crush
10,-13.668502280538934,83,0,1,-0.16468075036793897,0.05,crush
11,-17.118150585548015,59,0,1,-0.29013814551776296,0.05,crush
12,-17.765991456453353,54,0,1,-0.3289998417861732,0.05,crush
13,-2.921721736615759,77,0,0,-0.037944438137867,0.05,stuck
14,-17.18572605325315,48,0,1,-0.35803595944277394,0.05,crush
15,-20.256458165441714,58,0,1,-0.34924927871451233,0.05,crush
16,-24.767076076818746,62,0,1,-0.3994689689809475,0.05,crush
17,-17.20023535355826,57,0,1,-0.3017585149747063,0.05,crush
18,-17.726456849998577,52,0,1,-0.3408934009615111,0.05,crush
19,-17.699858388177102,44,0,1,-0.40226950882220686,0.05,crush
20,-17.10386770182847,48,0,1,-0.35633057712142646,0.05,crush
21,-18.265530314815344,51,0,1,-0.3581476532316734,0.05,crush
22,-44.36972611430348,130,0,1,-0.3413055854946422,0.05,crush
23,-18.48543351925119,60,0,1,-0.3080905586541865,0.05,crush
24,-17.640534556815027,41,0,1,-0.4302569404101226,0.05,crush
25,-17.448885801001836,60,0,1,-0.2908147633500306,0.05,crush
26,-17.302394767171734,57,0,1,-0.3035507853889778,0.05,crush
27,-18.155851060195666,50,0,1,-0.3631170212039133,0.05,crush
28,-15.796363923529192,72,0,1,-0.21939394338234988,0.05,crush
29,-14.514101430955977,74,0,1,-0.1961365058237294,0.05,crush
30,-18.586385124547427,44,0,1,-0.42241784373971425,0.05,crush
31,-14.553992253913865,80,0,1,-0.18192490317392332,0.05,crush
32,-17.47105550183371,99,0,1,-0.1764753080993304,0.05,crush
33,-33.45379301144147,101,0,1,-0.3312256733806086,0.05,crush
34,-18.647745852772545,108,0,1,-0.17266431345159763,0.05,crush
35,-16.970550933684848,76,0,1,-0.22329672281164273,0.05,crush
36,-17.545639208954015,65,0,1,-0.26993291090698485,0.05,crush
37,-23.979402501036343,131,0,1,-0.18304887405371253,0.05,crush
