episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-154.85717923568652,1000,0,0,-0.1548571792356865,0.1995,overtime
2,-94.15029302706459,321,0,1,-0.2933030935422573,0.199,crush
3,-32.375621686832844,4,0,1,-8.093905421708211,0.1985,crush
4,-51.94179880864296,58,0,1,-0.8955482553214303,0.198,crush
5,-33.93706594971512,4,0,1,-8.48426648742878,0.1975,crush
6,-63.00440905124796,122,0,1,-0.5164295823872783,0.197,crush
7,-34.052959135063304,4,0,1,-8.513239783765826,0.1965,crush
8,-66.38693363686497,133,0,1,-0.4991498769689095,0.196,crush
9,-32.46894499799755,4,0,1,-8.117236249499388,0.1955,crush
10,-16.110709892339596,37,0,1,-0.4354245916848539,0.195,crush
11,-24.78775863491488,33,0,1,-0.7511442010580267,0.1945,crush
12,-98.42299491232254,323,0,1,-0.30471515452731435,0.194,crush
13,-31.863583163709926,4,0,1,-7.9658957909274815,0.1935,crush
14,-64.05985317546548,82,0,1,-0.781217721652018,0.193,crush
15,-31.870508090752473,4,0,1,-7.967627022688118,0.1925,crush
16,-31.881493170906335,4,0,1,-7.970373292726584,0.192,crush
17,-20.023697298483533,44,0,1,-0.4550840295109894,0.1915,crush
18,-22.703045759036186,37,0,1,-0.6135958313253024,0.191,crush
19,-47.31009182134558,133,0,1,-0.3557149761003427,0.1905,crush
20,-32.387910442744364,4,0,1,-8.096977610686091,0.19,crush
21,-57.609708763943075,214,0,1,-0.26920424656048164,0.1895,crush
22,-32.23231309586387,4,0,1,-8.058078273965968,0.189,crush
23,-32.43478247722261,4,0,1,-8.108695619305653,0.1885,crush
24,-59.87488933474977,172,0,1,-0.34810982171366145,0.188,crush
25,-31.871515713821918,4,0,1,-7.967878928455479,0.1875,crush
26,-32.16721753216995,4,0,1,-8.041804383042487,0.187,crush
27,-46.01547617149113,49,0,1,-0.9390913504385945,0.1865,crush
28,-32.97096703565455,4,0,1,-8.242741758913638,0.186,crush
29,-39.44992108515337,26,0,1,-1.5173046571212834,0.1855,crush
30,-50.90359053719931,55,0,1,-0.9255198279490783,0.185,crush
31,-31.870551555004695,4,0,1,-7.967637888751174,0.1845,crush
32,-40.701525152195444,35,0,1,-1.1629007186341556,0.184,crush
33,-25.370620862215283,17,0,1,-1.4923894624832519,0.1835,crush
34,-31.87202490015385,4,0,1,-7.9680062250384625,0.183,crush
35,-53.491545468009804,244,0,1,-0.21922764536069592,0.1825,crush
36,-33.526430851822404,4,0,1,-8.381607712955601,0.182,crush
37,-31.869837445719547,4,0,1,-7.967459361429887,0.1815,crush
38,-49.2042568468932,75,0,1,-0.656056757958576,0.181,crush
39,-32.41547247031193,4,0,1,-8.103868117577983,0.1805,crush
40,-95.76761064987102,307,0,1,-0.31194661449469385,0.18,crush
41,-31.8672584083308,4,0,1,-7.9668146020827,0.17950000000000002,crush
42,-31.871656235911274,4,0,1,-7.967914058977819,0.179,crush
43,-33.551171130960036,4,0,1,-8.387792782740009,0.1785,crush
44,-24.368628224486436,61,0,1,-0.3994857085981383,0.17800000000000002,crush
45,-31.866122313823404,4,0,1,-7.966530578455851,0.17750000000000002,crush
46,-53.08710904376069,62,0,1,-0.8562436942542047,0.17700000000000002,crush
47,-32.407480372506576,4,0,1,-8.101870093126644,0.17650000000000002,crush
48,-43.20845026198351,43,0,1,-1.0048476805112443,0.17600000000000002,crush
49,-31.880738354180863,4,0,1,-7.970184588545216,0.17550000000000002,crush
50,-50.71883923803184,60,0,1,-0.8453139873005306,0.17500000000000002,crush
51,-33.97264386739148,4,0,1,-8.49316096684787,0.17450000000000002,crush
52,-37.214681310764,24,0,1,-1.5506117212818333,0.17400000000000002,crush
53,-43.90082342205076,38,0,1,-1.1552848268960727,0.17350000000000002,crush
54,-54.02381443273635,60,0,1,-0.9003969072122725,0.17300000000000001,crush
55,-33.01245496728105,4,0,1,-8.253113741820263,0.17250000000000001,crush
56,-41.65121763398113,33,0,1,-1.2621581101206405,0.17200000000000001,crush
57,-41.49917464230148,126,0,1,-0.3293585289071546,0.1715,crush
58,-60.288601728106265,186,0,1,-0.32413226735541,0.171,crush
59,-32.16963351742926,4,0,1,-8.042408379357315,0.1705,crush
60,-32.93628742039151,4,0,1,-8.234071855097877,0.17,crush
61,-80.08464140253777,302,0,1,-0.26518093179648267,0.1695,crush
62,-32.99296201846351,4,0,1,-8.248240504615877,0.169,crush
63,-32.97146305875968,4,0,1,-8.24286576468992,0.1685,crush
64,-31.876796433325463,4,0,1,-7.969199108331366,0.168,crush
65,-61.83152663277724,151,0,1,-0.40948030882633935,0.1675,crush
66,-32.760310270268135,4,0,1,-8.190077567567034,0.167,crush
67,-34.61963296399315,8,0,1,-4.3274541204991435,0.1665,crush
68,-32.85061202907835,57,0,1,-0.576326526825936,0.166,crush
69,-34.05338157088211,4,0,1,-8.513345392720527,0.1655,crush
70,-86.22212993222652,254,0,1,-0.33945720445758476,0.165,crush
71,-43.33508037817687,95,0,1,-0.4561587408229144,0.1645,crush
72,-32.46819359483037,4,0,1,-8.117048398707592,0.164,crush
73,-39.32630927968707,140,0,1,-0.2809022091406219,0.1635,crush
74,-31.867847735504142,4,0,1,-7.966961933876036,0.163,crush
75,-47.653859320161644,119,0,1,-0.40045259932908944,0.1625,crush
76,-34.09177706034731,4,0,1,-8.522944265086828,0.162,crush
77,-20.581349130439342,39,0,1,-0.527726900780496,0.1615,crush
78,-69.35348636888119,165,0,1,-0.42032415981140114,0.161,crush
79,-32.47166585048095,4,0,1,-8.117916462620238,0.1605,crush
80,-36.622185980221055,89,0,1,-0.41148523573282086,0.16,crush
81,-31.857255192764324,4,0,1,-7.964313798191081,0.1595,crush
82,-22.28686741524842,60,0,1,-0.3714477902541403,0.159,crush
83,-55.80897157855448,74,0,1,-0.7541752916020875,0.1585,crush
84,-103.048366627781,391,0,1,-0.26355080978972123,0.158,crush
85,-51.959985121389906,118,0,1,-0.4403388569609314,0.1575,crush
86,-32.17566244833225,4,0,1,-8.043915612083062,0.157,crush
87,-32.69195978884137,4,0,1,-8.172989947210343,0.1565,crush
88,-33.08039108271211,4,0,1,-8.270097770678028,0.156,crush
89,-41.95232038902619,38,0,1,-1.104008431290163,0.1555,crush
90,-32.707346110089844,4,0,1,-8.176836527522461,0.155,crush
91,-18.001441378918123,29,0,1,-0.6207393578937284,0.1545,crush
92,-40.14152315458283,96,0,1,-0.4181408661935711,0.154,crush
93,-34.04049915275173,4,0,1,-8.510124788187932,0.1535,crush
94,-34.600021434677195,76,0,1,-0.4552634399299631,0.153,crush
95,-32.17476365756749,4,0,1,-8.043690914391872,0.1525,crush
96,-21.68065396525526,47,0,1,-0.4612905098990481,0.152,crush
97,-41.20899463086346,15,0,1,-2.7472663087242304,0.15150000000000002,crush
98,-31.07369265791825,6,0,1,-5.178948776319708,0.151,crush
99,-45.15379511919452,62,0,1,-0.7282870180515245,0.1505,crush
100,-32.42497595119048,4,0,1,-8.10624398779762,0.15000000000000002,crush
101,-68.07356918636468,105,0,1,-0.6483197065368065,0.1495,crush
102,-31.875908237370147,4,0,1,-7.968977059342537,0.149,crush
103,-27.44524341727732,86,0,1,-0.3191307374102014,0.14850000000000002,crush
104,-32.39798429100199,4,0,1,-8.099496072750497,0.148,crush
105,-77.23166726057147,243,0,1,-0.31782579119576737,0.14750000000000002,crush
106,-31.86238689562272,4,0,1,-7.96559672390568,0.14700000000000002,crush
107,-32.46947025461182,4,0,1,-8.117367563652955,0.1465,crush
108,-23.15158801667839,59,0,1,-0.39239979689285404,0.14600000000000002,crush
109,-32.39363305180064,22,0,1,-1.4724378659909383,0.14550000000000002,crush
110,-34.039072800813976,4,0,1,-8.509768200203494,0.14500000000000002,crush
111,-40.622974980048454,37,0,1,-1.0979182427040122,0.14450000000000002,crush
112,-31.8749821648227,4,0,1,-7.968745541205675,0.14400000000000002,crush
113,-52.104799956101544,74,0,1,-0.7041189183256965,0.14350000000000002,crush
114,-48.50542656054787,131,0,1,-0.37027043175990737,0.14300000000000002,crush
115,-26.143801264641553,22,0,1,-1.1883546029382523,0.14250000000000002,crush
116,-32.41120124693988,4,0,1,-8.10280031173497,0.14200000000000002,crush
117,-61.24281342797643,98,0,1,-0.6249266676324126,0.14150000000000001,crush
118,-32.43679049745134,4,0,1,-8.109197624362835,0.14100000000000001,crush
119,-54.3017284948465,53,0,1,-1.0245609149971038,0.1405,crush
120,-60.962468524368624,78,0,1,-0.7815701092867773,0.14,crush
121,-31.877804312807765,4,0,1,-7.969451078201941,0.1395,crush
122,-31.5378584832553,134,0,1,-0.23535715286011416,0.139,crush
123,-31.87461496077143,4,0,1,-7.968653740192858,0.1385,crush
124,-37.335401924223746,18,0,1,-2.074188995790208,0.138,crush
125,-26.745641024022273,29,0,1,-0.922263483586975,0.1375,crush
126,-56.1330224983284,125,0,1,-0.44906417998662723,0.137,crush
127,-42.778281524069406,60,0,1,-0.7129713587344901,0.1365,crush
