episode,step,action,reward,epsilon,distance_to_goal,min_laser,done,reason,total_reward_so_far
1,1,2,0.002291366457939148,0.19925,5.999369555851751,0.9039720892906189,0,continue,0.002291366457939148
1,2,2,0.1370913421877064,0.19925,5.972976357762536,0.917956531047821,0,continue,0.13938270864564556
1,3,2,0.13384317209237936,0.19925,5.946172020496537,0.9357457160949707,0,continue,0.2732258807380249
1,4,2,0.16056855909769535,0.19925,5.914830842946349,0.9692836999893188,0,continue,0.43379443983572025
1,5,2,0.16463771297391688,0.19925,5.887323733951948,1.0016933679580688,0,continue,0.5984321528096371
1,6,2,0.21523573948145153,0.19925,5.856930615001736,1.0283328294754028,0,continue,0.8136678922910887
1,7,2,0.27308532317068757,0.19925,5.829054403411368,1.0623530149459839,0,continue,1.0867532154617763
1,8,2,0.3296409845606872,0.19925,5.807688298310661,1.0853785276412964,0,continue,1.4163942000224634
1,9,0,0.10401330144965919,0.19925,5.78407658177474,1.1104816198349,0,continue,1.5204075014721226
1,10,2,0.484775967781158,0.19925,5.765998994163088,1.1408568620681763,0,continue,2.0051834692532804
1,11,2,0.48459380104370103,0.19925,5.746665124923136,1.1504334211349487,0,continue,2.4897772702969814
1,12,1,0.06729042417418345,0.19925,5.7300151519816165,1.180557370185852,0,continue,2.557067694471165
1,13,2,0.46108897070453064,0.19925,5.71076427966964,1.2130589485168457,0,continue,3.0181566651756957
1,14,2,0.3935779488431078,0.19925,5.702155519956411,1.2308578491210938,0,continue,3.4117346140188034
1,15,2,0.3761276854785685,0.19925,5.693729752673427,1.2341898679733276,0,continue,3.787862299497372
1,16,2,0.36944909122267233,0.19925,5.686487151262657,1.2470574378967285,0,continue,4.157311390720044
1,17,2,0.3613878309282702,0.19925,5.68036723128506,1.2525819540023804,0,continue,4.518699221648314
1,18,2,0.35209091147559224,0.19925,5.67440105004848,1.2560958862304688,0,continue,4.870790133123906
1,19,2,0.3114237636355806,0.19925,5.671661122187514,1.2708390951156616,0,continue,5.182213896759487
1,20,2,-0.02937547651871739,0.19925,5.672508889818605,1.2717758417129517,0,continue,5.152838420240769
1,21,2,-0.04640886054059509,0.19925,5.677513522137988,1.2814923524856567,0,continue,5.1064295597001745
1,22,2,-0.07508444323351733,0.19925,5.688100033833666,1.2660945653915405,0,continue,5.031345116466658
1,23,2,-0.07399565072386079,0.19925,5.699967352430375,1.2741079330444336,0,continue,4.957349465742797
1,24,2,-0.09994627020800304,0.19925,5.717013542068377,1.2641162872314453,0,continue,4.857403195534794
1,25,1,-0.11290068341853314,0.19925,5.736650953418856,1.254463791847229,0,continue,4.744502512116261
1,26,0,0.06036816200632915,0.19925,5.754991003251651,1.251178503036499,0,continue,4.80487067412259
1,27,2,-0.14216190828161274,0.19925,5.779540448686544,1.2144298553466797,0,continue,4.662708765840978
1,28,2,-0.12988516349593177,0.19925,5.8021525436164785,1.2073781490325928,0,continue,4.532823602345045
1,29,2,-0.3976815805621673,0.19925,5.839907565011019,1.1716951131820679,0,continue,4.135142021782878
1,30,2,-0.38167553347720495,0.19925,5.874436383346574,1.1356728076934814,0,continue,3.7534664883056728
1,31,0,-0.29763677418342616,0.19925,5.901324980542553,1.09945809841156,0,continue,3.4558297141222467
1,32,2,-0.309837142458107,0.19925,5.92173417179149,1.0821222066879272,0,continue,3.1459925716641397
1,33,2,-0.3398367260484928,0.19925,5.946497060059375,1.0662071704864502,0,continue,2.806155845615647
1,34,2,-0.40363131201463875,0.19925,5.979032210881536,1.0531001091003418,0,continue,2.402524533601008
1,35,2,-0.42331720844458276,0.19925,6.016288698446724,1.0140372514724731,0,continue,1.979207325156425
1,36,2,-1.2754925055898794,0.19925,6.048257613954313,0.9866426587104797,0,continue,0.7037148195665457
1,37,2,-0.3422957802909784,0.19925,6.075347743522968,0.9634624123573303,0,continue,0.3614190392755673
1,38,2,-0.36196254280706097,0.19925,6.107495167703247,0.9345116019248962,0,continue,-0.0005435035314936831
1,39,2,-0.33537353610917964,0.19925,6.134358518601386,0.9068104028701782,0,continue,-0.3359170396406733
1,40,0,-0.3722917940480456,0.19925,6.167301028784736,0.865715503692627,0,continue,-0.7082088336887189
1,41,2,-0.34541901851121215,0.19925,6.193084468713575,0.8334213495254517,0,continue,-1.0536278521999312
1,42,2,-0.3743409420088595,0.19925,6.223209296240408,0.8121986985206604,0,continue,-1.4279687942087906
