episode,step,action,reward,epsilon,distance_to_goal,min_laser,done,reason,total_reward_so_far,monitor_delta_v
1,1,0,0.0,0.9988125,5.999952545853748,0.8980798721313477,0,continue,0.0,0
1,2,1,0.1625836086807329,0.9988125,5.967947767443361,0.9159789085388184,0,continue,0.1625836086807329,0
1,3,2,0.05738435529456384,0.9988125,5.896315363655783,0.9891668558120728,0,continue,0.21996796397529675,0
1,4,0,0.04000918583783908,0.9988125,5.884445615260856,1.0052260160446167,0,continue,0.2599771498131358,0
1,5,0,-0.07206303532428412,0.9988125,5.888497137009386,1.0236667394638062,0,continue,0.18791411448885167,0
1,6,1,-0.08557503834819417,0.9988125,5.904935163328837,1.009805679321289,0,continue,0.1023390761406575,0
1,7,1,-0.05593255760717388,0.9988125,5.909898484127103,1.0025628805160522,0,continue,0.04640651853348362,0
1,8,0,0.050330506036172444,0.9988125,5.896061598023119,1.0115941762924194,0,continue,0.09673702456965606,0
1,9,0,0.36003864881103775,0.9988125,5.823617299378302,1.0517785549163818,0,continue,0.4567756733806938,0
1,10,0,0.3418289533937283,0.9988125,5.756522677007599,1.09595787525177,0,continue,0.7986046267744221,0
1,11,0,0.41565919290278236,0.9988125,5.6819292360206965,1.1957110166549683,0,continue,1.2142638196772044,0
1,12,1,0.2433008130544007,0.9988125,5.6332673553160255,1.291711449623108,0,continue,1.4575646327316052,0
1,13,0,0.10427177616034587,0.9988125,5.610348666318141,1.303518533706665,0,continue,1.561836408891951,0
1,14,1,-0.03356190446736815,0.9988125,5.61195261619226,1.2959545850753784,0,continue,1.528274504424583,0
1,15,0,-0.05717985468843651,0.9988125,5.613654735003939,1.2974117994308472,0,continue,1.4710946497361463,0
1,16,0,0.0022349214070891688,0.9988125,5.6140359585171495,1.314715027809143,0,continue,1.4733295711432355,0
1,17,0,0.3240040924006751,0.9988125,5.5466158961702074,1.3422218561172485,0,continue,1.7973336635439106,0
1,18,2,0.24808210423157928,0.9988125,5.496817843644198,1.4134116172790527,0,continue,2.0454157677754896,0
1,19,0,0.29213847537009313,0.9988125,5.441720551315611,1.4550046920776367,0,continue,2.3375542431455827,0
1,20,0,0.25228448873153514,0.9988125,5.398215100016164,1.5268709659576416,0,continue,2.589838731877118,0
1,21,0,0.19847171450849221,0.9988125,5.361175865100817,1.564997911453247,0,continue,2.7883104463856103,0
1,22,0,0.3352282814383495,0.9988125,5.300854158248956,1.6442469358444214,0,continue,3.1235387278239597,0
1,23,2,0.33577392914493404,0.9988125,5.233345705210481,1.6745003461837769,0,continue,3.4593126569688937,0
