episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-15.87194079178771,49,0,1,-0.3239171590160757,0.05,crush
2,-34.04951883700874,4,0,1,-8.512379709252185,0.05,crush
3,-27.782635879849376,21,0,1,-1.3229826609452084,0.05,crush
4,-34.06392117156926,4,0,1,-8.515980292892316,0.05,crush
5,-22.524203291563126,36,0,1,-0.6256723136545312,0.05,crush
6,-34.05665171560554,4,0,1,-8.514162928901385,0.05,crush
7,-24.70525220173363,30,0,1,-0.8235084067244542,0.05,crush
8,-34.044379287118645,4,0,1,-8.511094821779661,0.05,crush
9,-26.674291628324802,27,0,1,-0.9879367269749927,0.05,crush
10,-33.533210259345594,4,0,1,-8.383302564836399,0.05,crush
11,-30.266172279160102,47,0,1,-0.6439611123225554,0.05,crush
12,-34.324160721417606,4,0,1,-8.581040180354401,0.05,crush
13,-26.734916897384757,26,0,1,-1.0282660345147983,0.05,crush
14,-33.967781671230206,4,0,1,-8.491945417807552,0.05,crush
15,-31.151297593327033,33,0,1,-0.9439787149493041,0.05,crush
16,-33.13984452817504,4,0,1,-8.28496113204376,0.05,crush
17,-24.42085426189078,32,0,1,-0.7631516956840869,0.05,crush
18,-34.07394201763443,4,0,1,-8.518485504408607,0.05,crush
19,-23.46229531992543,29,0,1,-0.8090446662043252,0.05,crush
20,-34.01904615746738,4,0,1,-8.504761539366845,0.05,crush
21,-24.209880360120447,35,0,1,-0.6917108674320128,0.05,crush
22,-34.08112119793387,4,0,1,-8.520280299483467,0.05,crush
23,-25.19026142514811,30,0,1,-0.8396753808382703,0.05,crush
24,-34.07328277060004,4,0,1,-8.51832069265001,0.05,crush
25,-24.367025051651936,34,0,1,-0.7166772074015275,0.05,crush
26,-34.37300712793265,4,0,1,-8.593251781983163,0.05,crush
27,-25.99702710177305,23,0,1,-1.1303055261640456,0.05,crush
28,-33.53973788009059,4,0,1,-8.384934470022648,0.05,crush
29,-42.688708522885136,56,0,1,-0.7622983664800917,0.05,crush
30,-34.36030797396295,4,0,1,-8.590076993490737,0.05,crush
31,-24.649041884814128,36,0,1,-0.6846956079115035,0.05,crush
32,-34.545919374240896,4,0,1,-8.636479843560224,0.05,crush
33,-23.28071545312762,28,0,1,-0.8314541233259864,0.05,crush
34,-34.03234027031762,4,0,1,-8.508085067579405,0.05,crush
35,-24.082740023145824,35,0,1,-0.688078286375595,0.05,crush
36,-34.11184763225293,4,0,1,-8.527961908063233,0.05,crush
