episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-19.76215181460546,68,0,1,-0.2906198796265509,0.9981,crush
2,-33.948112267837985,4,0,1,-8.487028066959496,0.9962,crush
3,-18.938344970280284,63,0,1,-0.30060865032190925,0.9943,crush
4,-37.64201110723261,4,0,1,-9.410502776808153,0.9924,crush
5,-50.26337807985516,225,0,1,-0.22339279146602292,0.9905,crush
6,-33.558520995327,4,0,1,-8.38963024883175,0.9886,crush
7,-41.29699222848956,4,0,1,-10.32424805712239,0.9867,crush
8,-33.50670235380716,4,0,1,-8.37667558845179,0.9848,crush
9,-19.217972266322974,61,0,1,-0.3150487256774258,0.9829,crush
10,-32.960622198176154,4,0,1,-8.240155549544038,0.981,crush
11,-19.973678532233034,54,0,1,-0.36988293578209325,0.9791,crush
12,-33.20033339178354,4,0,1,-8.300083347945884,0.9772,crush
13,-25.185196174538753,68,0,1,-0.37037053197851105,0.9753000000000001,crush
14,-33.583067052451895,4,0,1,-8.395766763112974,0.9734,crush
15,-44.79922181569577,97,0,1,-0.4618476475844925,0.9715,crush
16,-33.542172105975524,4,0,1,-8.385543026493881,0.9696,crush
17,-34.47979641006525,88,0,1,-0.391815868296196,0.9677,crush
18,-33.58871427538322,4,0,1,-8.397178568845804,0.9658,crush
19,-19.341753388350533,73,0,1,-0.2649555258678155,0.9639,crush
20,-32.407998129593274,4,0,1,-8.101999532398318,0.962,crush
21,-22.865675377869884,63,0,1,-0.3629472282201569,0.9601,crush
22,-34.10505327956838,4,0,1,-8.526263319892095,0.9582,crush
23,-41.438448931700194,93,0,1,-0.445574719695701,0.9563,crush
24,-32.411134689071915,4,0,1,-8.102783672267979,0.9544,crush
25,-21.561145488990405,42,0,1,-0.5133606068807239,0.9525,crush
26,-33.47165510647478,4,0,1,-8.367913776618694,0.9506,crush
27,-23.211417093968993,49,0,1,-0.4737023896728366,0.9487,crush
28,-34.04449944789795,4,0,1,-8.511124861974487,0.9468,crush
29,-17.43890526694802,49,0,1,-0.35589602585608204,0.9449,crush
