episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-31.505909595821233,175,0,1,-0.18003376911897848,0.05,crush
2,-52.13620114449482,4,0,1,-13.034050286123705,0.05,crush
3,-61.38954767172835,200,0,1,-0.30694773835864175,0.05,crush
4,-51.39938712098092,4,0,1,-12.84984678024523,0.05,crush
5,-140.53790758498715,798,0,1,-0.17611266614660046,0.05,crush
6,-100.42968112366664,330,0,1,-0.3043323670414141,0.05,crush
7,-50.74407789110716,4,0,1,-12.68601947277679,0.05,crush
8,-51.805275666691266,4,0,1,-12.951318916672816,0.05,crush
9,-55.21771660817123,331,0,1,-0.16682089609719405,0.05,crush
10,-20.82927224900306,79,0,1,-0.26366167403801344,0.05,crush
11,-44.015365572781114,47,0,1,-0.9364971398464067,0.05,crush
12,-60.934761627747875,170,0,1,-0.35843977428086987,0.05,crush
13,-35.09480897174889,204,0,0,-0.17203337731249455,0.05,stuck
14,-51.91886098300533,4,0,1,-12.979715245751333,0.05,crush
15,-64.5960479849924,134,0,1,-0.4820600595894955,0.05,crush
16,-68.13209472366543,10,0,1,-6.813209472366543,0.05,crush
17,-72.39925925490395,552,0,1,-0.13115807836033325,0.05,crush
18,-31.805807780452785,111,0,1,-0.286538808832908,0.05,crush
19,-73.49987213064519,61,0,1,-1.2049159365679538,0.05,crush
20,-122.29878362104148,353,0,1,-0.3464554776800042,0.05,crush
21,-54.62562550198112,4,0,1,-13.65640637549528,0.05,crush
22,-104.80148992134494,225,0,1,-0.46578439965042195,0.05,crush
23,-36.95908215726545,4,0,1,-9.239770539316362,0.05,crush
24,-59.60499279005006,99,0,1,-0.60207063424293,0.05,crush
25,-42.29753411797212,36,0,1,-1.1749315032770034,0.05,crush
26,-48.481376859435,377,0,1,-0.12859781660327588,0.05,crush
27,-54.54673337460022,96,0,1,-0.5681951393187523,0.05,crush
28,-52.006673536446144,4,0,1,-13.001668384111536,0.05,crush
29,-121.6493599957248,654,0,1,-0.1860081957121174,0.05,crush
30,-17.671376108171465,62,0,0,-0.28502219529308814,0.05,stuck
31,-49.65332804596291,8,0,1,-6.2066660057453635,0.05,crush
32,-60.93607080570587,226,0,0,-0.26962863188365427,0.05,stuck
33,-31.837328927870423,4,0,1,-7.959332231967606,0.05,crush
34,-19.06878668909303,103,0,1,-0.18513385135041777,0.05,crush
