episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-17.70383807645007,70,0,1,-0.2529119725207153,0.9981,crush
2,-32.160165378969666,4,0,1,-8.040041344742416,0.9962,crush
3,-18.275411440206625,43,0,1,-0.42500956837689824,0.9943,crush
4,-60.26235371726921,69,0,1,-0.8733674451778146,0.9924,crush
5,-33.46339218879308,4,0,1,-8.36584804719827,0.9905,crush
6,-18.72536532357551,66,0,1,-0.28371765641781077,0.9886,crush
7,-33.52807352480987,4,0,1,-8.382018381202467,0.9867,crush
8,-54.60609163317454,96,0,1,-0.5688134545122349,0.9848,crush
9,-32.708997674017716,4,0,1,-8.177249418504429,0.9829,crush
10,-30.04616964993002,81,0,1,-0.37094036604851877,0.981,crush
11,-33.54445593711794,4,0,1,-8.386113984279485,0.9791,crush
12,-54.65522640537493,291,0,1,-0.18781864744115098,0.9772,crush
13,-34.218750783209614,4,0,1,-8.554687695802404,0.9753000000000001,crush
14,-33.40606154924601,4,0,1,-8.351515387311503,0.9734,crush
15,-34.03891621361628,4,0,1,-8.50972905340407,0.9715,crush
16,-42.000344169752886,102,0,1,-0.41176808009561655,0.9696,crush
17,-33.03778248667737,4,0,1,-8.259445621669343,0.9677,crush
18,-41.50537127367516,33,0,1,-1.2577385234447018,0.9658,crush
19,-33.533402017666965,4,0,1,-8.383350504416741,0.9639,crush
20,-47.719966139749204,110,0,1,-0.43381787399772004,0.962,crush
21,-33.52856748274907,4,0,1,-8.382141870687267,0.9601,crush
22,-44.325148980374635,55,0,1,-0.8059117996431752,0.9582,crush
23,-32.41429665624809,4,0,1,-8.103574164062023,0.9563,crush
24,-41.195258264650896,33,0,1,-1.2483411595348757,0.9544,crush
25,-33.97198273845226,4,0,1,-8.492995684613065,0.9525,crush
26,-38.48955843429884,69,0,1,-0.5578196874536064,0.9506,crush
27,-32.744246481922886,4,0,1,-8.186061620480722,0.9487,crush
28,-37.26787311394829,54,0,1,-0.6901457984064499,0.9468,crush
29,-32.736112805137616,4,0,1,-8.184028201284404,0.9449,crush
