episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-15.959063348652844,49,0,1,-0.3256951703806703,0.05,crush
2,-34.07386901525216,4,0,1,-8.51846725381304,0.05,crush
3,-24.00375615114676,26,0,1,-0.9232213904287215,0.05,crush
4,-34.077070833552874,4,0,1,-8.519267708388218,0.05,crush
5,-26.016511947659513,26,0,1,-1.0006350749099813,0.05,crush
6,-34.15179697971796,4,0,1,-8.53794924492949,0.05,crush
7,-26.498862032890592,23,0,1,-1.1521244362126344,0.05,crush
8,-34.047583965425574,4,0,1,-8.511895991356393,0.05,crush
9,-23.192182863050558,32,0,1,-0.7247557144703299,0.05,crush
10,-34.06235471030423,4,0,1,-8.515588677576057,0.05,crush
11,-23.577936094303155,30,0,1,-0.7859312031434385,0.05,crush
12,-33.4266872200639,4,0,1,-8.356671805015974,0.05,crush
13,-30.227915378584203,57,0,1,-0.5303143048874421,0.05,crush
14,-34.38520837993763,4,0,1,-8.596302094984408,0.05,crush
15,-23.4216020804221,34,0,1,-0.6888706494241794,0.05,crush
16,-33.893998728088185,4,0,1,-8.473499682022046,0.05,crush
17,-24.38782904304154,32,0,1,-0.7621196575950481,0.05,crush
18,-34.12128441369003,4,0,1,-8.530321103422507,0.05,crush
19,-25.21540694394161,33,0,1,-0.7641032407255033,0.05,crush
20,-34.01173805106766,4,0,1,-8.502934512766915,0.05,crush
21,-24.81507098932225,33,0,1,-0.7519718481612804,0.05,crush
22,-34.102616246019345,4,0,1,-8.525654061504836,0.05,crush
23,-24.811554818361937,31,0,1,-0.8003727360761915,0.05,crush
24,-34.05470626407919,4,0,1,-8.513676566019798,0.05,crush
25,-25.169950938704993,24,0,1,-1.0487479557793746,0.05,crush
26,-33.962332847844564,4,0,1,-8.490583211961141,0.05,crush
27,-23.497544987635052,32,0,1,-0.7342982808635954,0.05,crush
28,-34.180552070526815,4,0,1,-8.545138017631704,0.05,crush
29,-24.460762877782148,28,0,1,-0.8735986742065053,0.05,crush
30,-34.15935813707552,4,0,1,-8.53983953426888,0.05,crush
31,-24.379905583577916,29,0,1,-0.8406863994337213,0.05,crush
32,-34.09725553297051,4,0,1,-8.524313883242627,0.05,crush
33,-25.612239561068712,23,0,1,-1.113575633089944,0.05,crush
34,-34.75826280684146,4,0,1,-8.689565701710364,0.05,crush
35,-22.541511267385765,33,0,1,-0.6830760990116899,0.05,crush
36,-33.99601708857927,4,0,1,-8.499004272144818,0.05,crush
37,-25.301771374866103,31,0,1,-0.8161861733827775,0.05,crush
38,-34.077583210444864,4,0,1,-8.519395802611216,0.05,crush
39,-24.005487054705732,26,0,1,-0.9232879636425282,0.05,crush
40,-34.07261801945032,4,0,1,-8.51815450486258,0.05,crush
41,-24.51416854685575,28,0,1,-0.8755060195305625,0.05,crush
42,-34.0752095041702,4,0,1,-8.51880237604255,0.05,crush
43,-24.17737930742281,26,0,1,-0.9298992041316466,0.05,crush
44,-33.52143056794018,4,0,1,-8.380357641985045,0.05,crush
45,-25.85596812157335,36,0,1,-0.7182213367103709,0.05,crush
46,-34.24458047792594,4,0,1,-8.561145119481486,0.05,crush
47,-26.16443118823956,21,0,1,-1.2459252946780743,0.05,crush
48,-34.028641462265654,4,0,1,-8.507160365566413,0.05,crush
49,-24.132463358921854,31,0,1,-0.7784665599652211,0.05,crush
50,-34.051606260569045,4,0,1,-8.512901565142261,0.05,crush
51,-25.630023979248293,26,0,1,-0.9857701530480113,0.05,crush
52,-34.06144562238364,4,0,1,-8.51536140559591,0.05,crush
53,-23.39891383338438,27,0,1,-0.8666264382734956,0.05,crush
54,-33.993212448401486,4,0,1,-8.498303112100372,0.05,crush
55,-24.39070740953853,25,0,1,-0.9756282963815411,0.05,crush
56,-34.1971332465796,4,0,1,-8.5492833116449,0.05,crush
57,-26.265132241505817,23,0,1,-1.141962271369818,0.05,crush
58,-34.08713605808524,4,0,1,-8.52178401452131,0.05,crush
59,-23.495410239950807,10,0,1,-2.349541023995081,0.05,crush
60,-30.477988469182133,45,0,1,-0.6772886326484918,0.05,crush
61,-32.39904444427144,4,0,1,-8.09976111106786,0.05,crush
62,-43.73118884067147,48,0,1,-0.9110664341806557,0.05,crush
63,-32.69683305045368,4,0,1,-8.17420826261342,0.05,crush
64,-37.76729090456578,49,0,1,-0.7707610388686894,0.05,crush
65,-32.13019152381155,4,0,1,-8.032547880952887,0.05,crush
66,-36.002317075406424,14,0,1,-2.5715940768147445,0.05,crush
67,-61.47626639087109,91,0,1,-0.6755633669326493,0.05,crush
68,-32.255551766063356,4,0,1,-8.063887941515839,0.05,crush
69,-30.772061238123005,175,0,1,-0.17584034993213146,0.05,crush
70,-34.02647242301108,4,0,1,-8.50661810575277,0.05,crush
71,-33.44509520427564,4,0,1,-8.36127380106891,0.05,crush
72,-31.89847815782663,4,0,1,-7.974619539456658,0.05,crush
73,-77.6393616483295,349,0,1,-0.22246235429320774,0.05,crush
74,-32.97117690275613,4,0,1,-8.242794225689032,0.05,crush
75,-34.874033447598194,4,0,1,-8.718508361899548,0.05,crush
76,-34.79012378377916,4,0,1,-8.69753094594479,0.05,crush
77,-42.177081378870106,4,0,1,-10.544270344717527,0.05,crush
78,-33.07683695886759,4,0,1,-8.269209239716897,0.05,crush
79,-31.199820144159574,82,0,1,-0.3804856115141411,0.05,crush
80,-43.26843751621672,205,0,1,-0.21106554885959378,0.05,crush
81,-36.17992137003693,66,0,1,-0.5481806268187414,0.05,crush
82,-32.385913544957965,4,0,1,-8.096478386239491,0.05,crush
83,-43.51599151949388,56,0,1,-0.7770712771338193,0.05,crush
84,-32.7787898335563,4,0,1,-8.194697458389076,0.05,crush
85,-32.31322868724885,4,0,1,-8.078307171812213,0.05,crush
86,-87.33544462424203,346,0,1,-0.2524145798388498,0.05,crush
87,-32.06523508556837,4,0,1,-8.016308771392092,0.05,crush
88,-31.888290222841686,4,0,1,-7.9720725557104215,0.05,crush
89,-31.889062992504186,4,0,1,-7.972265748126047,0.05,crush
90,-69.90804215300616,155,0,1,-0.45101962679358815,0.05,crush
91,-32.29777119331487,4,0,1,-8.074442798328718,0.05,crush
92,-36.91899365800738,25,0,1,-1.4767597463202953,0.05,crush
93,-32.731078417967225,4,0,1,-8.182769604491806,0.05,crush
94,-43.993187151283166,55,0,1,-0.7998761300233302,0.05,crush
95,-32.100477806041866,4,0,1,-8.025119451510466,0.05,crush
96,-44.28470250780608,69,0,1,-0.6418072827218273,0.05,crush
97,-32.65932101629249,4,0,1,-8.164830254073122,0.05,crush
98,-77.33662915041053,349,0,1,-0.2215949259324084,0.05,crush
99,-32.71709013237686,4,0,1,-8.179272533094215,0.05,crush
100,-32.66291644773017,4,0,1,-8.165729111932542,0.05,crush
101,-32.09936590908208,4,0,1,-8.02484147727052,0.05,crush
102,-31.936974578612546,4,0,1,-7.984243644653136,0.05,crush
103,-30.65104088788507,4,0,1,-7.662760221971268,0.05,crush
