episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-37.818838125310315,91,0,1,-0.4155916277506628,0.9988125,crush
2,-93.40726456976707,4,0,1,-23.351816142441766,0.997625,crush
3,-83.638828427138,55,0,1,-1.520705971402509,0.9964375,crush
4,-79.56995147761438,84,0,1,-0.9472613271144569,0.99525,crush
5,-64.57555805679546,63,0,1,-1.0250088580443724,0.9940625,crush
6,-43.57282642750873,58,0,1,-0.7512556280604954,0.992875,crush
7,-37.6860205143439,29,0,1,-1.2995179487704793,0.9916875,crush
8,-39.36119128186484,64,0,1,-0.6150186137791381,0.9905,crush
9,-22.40440145520688,45,0,1,-0.49787558789348624,0.9893125,crush
10,-50.080166581717975,50,0,1,-1.0016033316343596,0.988125,crush
11,-86.97160375375262,46,0,1,-1.890687038125057,0.9869375,crush
12,-38.459872601377974,30,0,1,-1.2819957533792659,0.98575,crush
13,-20.791837493225366,38,0,1,-0.5471536182427728,0.9845625,crush
14,-37.871991568016405,105,0,1,-0.36068563398110864,0.983375,crush
15,-66.15931053299859,56,0,1,-1.181416259517832,0.9821875,crush
16,-19.692263814162754,32,0,1,-0.615383244192586,0.981,crush
17,-24.819848680965606,48,0,1,-0.5170801808534501,0.9798125,crush
18,-46.28680218468712,71,0,1,-0.6519267913336214,0.978625,crush
19,-47.09789234538638,41,0,1,-1.1487290815947897,0.9774375,crush
20,-51.59506466831126,79,0,1,-0.6531020844090033,0.97625,crush
21,-26.147406599261608,43,0,1,-0.608079223238642,0.9750625,crush
22,-18.046608561621753,34,0,1,-0.530782604753581,0.973875,crush
23,-18.185169671578343,32,0,1,-0.5682865522368232,0.9726875,crush
24,-18.734744659108365,40,0,1,-0.4683686164777091,0.9715,crush
25,-17.697573714521447,32,0,1,-0.5530491785787952,0.9703125,crush
26,-23.636987496766857,54,0,1,-0.4377219906808677,0.969125,crush
27,-17.44253993473193,35,0,1,-0.4983582838494837,0.9679375,crush
28,-17.76524665778376,32,0,1,-0.5551639580557425,0.96675,crush
29,-18.556203130030546,37,0,1,-0.5015190035143391,0.9655625,crush
30,-18.06637598072392,42,0,1,-0.43015180906485523,0.964375,crush
31,-25.280939092694574,41,0,1,-0.6166082705535262,0.9631875,crush
32,-17.88753406059497,38,0,1,-0.47072458054197286,0.962,crush
33,-37.079677384787274,28,0,1,-1.3242741923138313,0.9608125,crush
34,-22.774598361331126,49,0,1,-0.4647877216598189,0.959625,crush
35,-48.742372228828025,60,0,1,-0.812372870480467,0.9584375,crush
36,-21.600353138590826,67,0,1,-0.32239333042672874,0.95725,crush
37,-55.81737731303501,142,0,1,-0.39308012192278174,0.9560625,crush
38,-36.72577319534455,80,0,1,-0.4590721649418069,0.954875,crush
39,-17.41539742390838,23,0,1,-0.7571911923438427,0.9536875,crush
40,-26.118808343411786,36,0,1,-0.7255224539836607,0.9525,crush
41,-50.21194168293299,115,0,1,-0.4366255798515912,0.9513125,crush
42,-17.507506332549625,22,0,1,-0.7957957423886193,0.950125,crush
43,-45.959305571579975,58,0,1,-0.7924018201996548,0.9489375,crush
