episode,step,action,reward,epsilon,distance_to_goal,min_laser,done,reason,total_reward_so_far
1,1,0,0.0,0.99525,6.000291458847937,0.8982725739479065,0,continue,0.0
1,2,0,0.0052770434577991574,0.99525,6.000293947440248,0.8964078426361084,0,continue,0.0052770434577991574
1,3,2,0.3564321145838405,0.99525,5.928999579760599,0.9008470177650452,0,continue,0.36170915804163967
1,4,2,0.36283165097217873,0.99525,5.8578990847833525,0.8911951780319214,0,continue,0.7245408090138183
1,5,2,0.013495233453932175,0.99525,5.856167628600414,0.9062966704368591,0,continue,0.7380360424677506
1,6,0,0.22532241400060224,0.99525,5.811815220845235,0.8939408659934998,0,continue,0.9633584564683528
1,7,0,0.4365747801465426,0.99525,5.722009821494991,0.9007073640823364,0,continue,1.3999332366148955
1,8,0,0.43221796569887394,0.99525,5.641206730620935,0.951930820941925,0,continue,1.8321512023137694
1,9,0,0.4346111898664782,0.99525,5.560394614245801,1.0374746322631836,0,continue,2.2667623921802473
1,10,0,0.328775485312995,0.99525,5.497435819894285,1.0353772640228271,0,continue,2.5955378774932423
1,11,0,0.2493053593828587,0.99525,5.446512796279257,1.0472421646118164,0,continue,2.844843236876101
1,12,0,0.04718190597267545,0.99525,5.441479643938474,1.081675410270691,0,continue,2.892025142848776
1,13,0,0.20301545647279728,0.99525,5.403854385781676,1.1479911804199219,0,continue,3.0950405993215737
1,14,2,0.2227342022909457,0.99525,5.355419298262254,1.2508454322814941,0,continue,3.3177748016125195
1,15,0,0.21023345465583512,0.99525,5.3088594961486155,1.2922687530517578,0,continue,3.528008256268355
1,16,0,0.21923428958679958,0.99525,5.267248091133987,1.3980176448822021,0,continue,3.7472425458551544
1,17,0,0.17244935833222225,0.99525,5.235308111664819,1.4640929698944092,0,continue,3.919691904187377
1,18,0,0.06026495880282763,0.99525,5.217685849553364,1.4574778079986572,0,continue,3.9799568629902042
1,19,0,0.006006914072693714,0.99525,5.217632877214272,1.5069351196289062,0,continue,3.985963777062898
1,20,0,0.04123083378292378,0.99525,5.205796876042584,1.541927456855774,0,continue,4.027194610845822
1,21,1,0.12721926030407776,0.99525,5.179726372600461,1.6060768365859985,0,continue,4.1544138711499
1,22,1,0.07122568516329908,0.99525,5.158750503672286,1.6317662000656128,0,continue,4.225639556313199
1,23,0,0.009552278663897296,0.99525,5.151013877738653,1.671947717666626,0,continue,4.235191834977097
